size,cores,latency,Sequential,modify
64,1,0.876563,1,1
128,1,1.155,1,1
256,1,1.11484,1,1
512,1,1.10293,1,1
1024,1,1.11044,1,1
2048,1,1.12413,1,1
4096,1,1.1168,1,1
8192,1,1.139,1,1
16384,1,1.15092,1,1
32768,1,1.2025,1,1
65536,1,1.20947,1,1
131072,1,1.25909,1,1
262144,1,1.69749,1,1
524288,1,2.86971,1,1
1048576,1,3.63681,1,1
64,1,1.17994,1,0
128,1,1.10628,1,0
256,1,1.09978,1,0
512,1,1.08476,1,0
1024,1,1.03697,1,0
2048,1,1.11316,1,0
4096,1,1.05499,1,0
8192,1,1.05506,1,0
16384,1,1.08116,1,0
32768,1,1.10212,1,0
65536,1,1.10629,1,0
131072,1,1.11418,1,0
262144,1,1.17601,1,0
524288,1,7.37357,1,0
1048576,1,8.22527,1,0
64,1,0.876406,0,1
128,1,1.16039,0,1
256,1,1.09809,0,1
512,1,1.09195,0,1
1024,1,1.10404,0,1
2048,1,1.11045,0,1
4096,1,2.28813,0,1
8192,1,2.72513,0,1
16384,1,4.79652,0,1
32768,1,8.83765,0,1
65536,1,11.5233,0,1
131072,1,12.9751,0,1
262144,1,14.2834,0,1
524288,1,36.0178,0,1
1048576,1,69.146,0,1
64,1,1.10748,0,0
128,1,1.05679,0,0
256,1,1.03218,0,0
512,1,1.02656,0,0
1024,1,1.01928,0,0
2048,1,1.04635,0,0
4096,1,2.2167,0,0
8192,1,3.15108,0,0
16384,1,4.59574,0,0
32768,1,7.99655,0,0
65536,1,11.0724,0,0
131072,1,13.9708,0,0
262144,1,16.7505,0,0
524288,1,204.041,0,0
1048576,1,349.682,0,0
64,2,1.5525,1,1
128,2,2.30293,1,1
256,2,2.19971,1,1
512,2,2.22458,1,1
1024,2,2.2582,1,1
2048,2,3.14428,1,1
4096,2,2.6725,1,1
8192,2,2.36967,1,1
16384,2,2.44481,1,1
32768,2,3.35479,1,1
65536,2,8.48931,1,1
131072,2,5.90768,1,1
262144,2,8.06812,1,1
524288,2,12.0113,1,1
1048576,2,12.148,1,1
64,2,2.27513,1,0
128,2,2.16321,1,0
256,2,2.16509,1,0
512,2,2.17414,1,0
1024,2,2.23979,1,0
2048,2,2.52782,1,0
4096,2,2.41684,1,0
8192,2,2.36968,1,0
16384,2,2.71412,1,0
32768,2,2.87094,1,0
65536,2,2.24511,1,0
131072,2,3.19513,1,0
262144,2,6.1303,1,0
524288,2,43.325,1,0
1048576,2,35.128,1,0
64,2,1.91805,0,1
128,2,2.01984,0,1
256,2,2.24482,0,1
512,2,2.17298,0,1
1024,2,2.3827,0,1
2048,2,2.72671,0,1
4096,2,5.28733,0,1
8192,2,5.82751,0,1
16384,2,13.6162,0,1
32768,2,27.66,0,1
65536,2,39.4851,0,1
131072,2,37.0958,0,1
262144,2,55.6895,0,1
524288,2,114.565,0,1
1048576,2,147.035,0,1
64,2,2.23924,0,0
128,2,2.16689,0,0
256,2,2.11131,0,0
512,2,2.07697,0,0
1024,2,2.07254,0,0
2048,2,2.13366,0,0
4096,2,4.45963,0,0
8192,2,5.57315,0,0
16384,2,9.3329,0,0
32768,2,15.7886,0,0
65536,2,20.205,0,0
131072,2,24.8781,0,0
262144,2,60.2129,0,0
524288,2,607.115,0,0
1048576,2,712.434,0,0
64,3,2.60146,1,1
128,3,3.42839,1,1
256,3,3.32767,1,1
512,3,3.3432,1,1
1024,3,3.31005,1,1
2048,3,3.28188,1,1
4096,3,3.33239,1,1
8192,3,3.34288,1,1
16384,3,3.50072,1,1
32768,3,3.61184,1,1
65536,3,3.56886,1,1
131072,3,4.68339,1,1
262144,3,10.689,1,1
524288,3,18.0464,1,1
1048576,3,20.0284,1,1
64,3,3.27873,1,0
128,3,3.19928,1,0
256,3,3.14197,1,0
512,3,3.10542,1,0
1024,3,3.11631,1,0
2048,3,3.16505,1,0
4096,3,3.1536,1,0
8192,3,3.16228,1,0
16384,3,3.24863,1,0
32768,3,3.37213,1,0
65536,3,3.39378,1,0
131072,3,3.75927,1,0
262144,3,6.42343,1,0
524288,3,43.7522,1,0
1048576,3,47.9466,1,0
64,3,2.03531,0,1
128,3,3.41633,0,1
256,3,3.23826,0,1
512,3,3.30476,0,1
1024,3,3.29787,0,1
2048,3,3.3745,0,1
4096,3,6.97572,0,1
8192,3,9.29941,0,1
16384,3,12.6135,0,1
32768,3,26.8705,0,1
65536,3,34.6827,0,1
131072,3,50.3465,0,1
262144,3,137.42,0,1
524288,3,210.5,0,1
1048576,3,265.123,0,1
64,3,3.30685,0,0
128,3,3.2024,0,0
256,3,3.12958,0,0
512,3,3.06585,0,0
1024,3,3.09328,0,0
2048,3,3.17807,0,0
4096,3,6.72303,0,0
8192,3,8.99689,0,0
16384,3,13.1995,0,0
32768,3,23.4424,0,0
65536,3,30.0907,0,0
131072,3,41.6424,0,0
262144,3,125.736,0,0
524288,3,1024.88,0,0
1048576,3,1215.16,0,0
64,4,3.07598,1,1
128,4,4.62477,1,1
256,4,4.19711,1,1
512,4,4.15833,1,1
1024,4,4.43447,1,1
2048,4,4.46947,1,1
4096,4,4.43942,1,1
8192,4,4.49809,1,1
16384,4,4.85446,1,1
32768,4,4.89001,1,1
65536,4,4.83668,1,1
131072,4,8.01064,1,1
262144,4,27.5331,1,1
524288,4,35.104,1,1
1048576,4,36.0664,1,1
64,4,7.3588,1,0
128,4,7.1984,1,0
256,4,7.147,1,0
512,4,7.08,1,0
1024,4,7.073,1,0
2048,4,7.17514,1,0
4096,4,7.19372,1,0
8192,4,7.29092,1,0
16384,4,7.52221,1,0
32768,4,7.73543,1,0
65536,4,8.44461,1,0
131072,4,10.0785,1,0
262144,4,11.2462,1,0
524288,4,74.1054,1,0
1048576,4,77.486,1,0
64,4,3.14258,0,1
128,4,4.34037,0,1
256,4,4.40116,0,1
512,4,4.43551,0,1
1024,4,4.39513,0,1
2048,4,4.65852,0,1
4096,4,9.23227,0,1
8192,4,15.9972,0,1
16384,4,17.9623,0,1
32768,4,38.3415,0,1
65536,4,50.1291,0,1
131072,4,119.318,0,1
262144,4,298.405,0,1
524288,4,373.936,0,1
1048576,4,433.542,0,1
64,4,4.38523,0,0
128,4,4.26515,0,0
256,4,4.20131,0,0
512,4,4.16671,0,0
1024,4,4.13816,0,0
2048,4,4.26692,0,0
4096,4,9.04343,0,0
8192,4,11.4111,0,0
16384,4,17.8417,0,0
32768,4,44.2175,0,0
65536,4,74.4895,0,0
131072,4,103.752,0,0
262144,4,211.944,0,0
524288,4,1566.42,0,0
1048576,4,1773.3,0,0
64,5,5.80969,1,1
128,5,8.69392,1,1
256,5,9.13596,1,1
512,5,9.14209,1,1
1024,5,9.24599,1,1
2048,5,9.4595,1,1
4096,5,9.64496,1,1
8192,5,9.44716,1,1
16384,5,10.3052,1,1
32768,5,10.8053,1,1
65536,5,10.5213,1,1
131072,5,15.1603,1,1
262144,5,40.0275,1,1
524288,5,50.2649,1,1
1048576,5,53.135,1,1
64,5,5.31139,1,0
128,5,5.17862,1,0
256,5,5.21033,1,0
512,5,5.1673,1,0
1024,5,5.18186,1,0
2048,5,5.28575,1,0
4096,5,5.33319,1,0
8192,5,5.34736,1,0
16384,5,5.50311,1,0
32768,5,5.70343,1,0
65536,5,5.68927,1,0
131072,5,9.18161,1,0
262144,5,15.0635,1,0
524288,5,109.153,1,0
1048576,5,117.839,1,0
64,5,4.24166,0,1
128,5,8.63052,0,1
256,5,9.14907,0,1
512,5,9.41079,0,1
1024,5,9.42086,0,1
2048,5,10.4489,0,1
4096,5,21.5392,0,1
8192,5,25.724,0,1
16384,5,44.2307,0,1
32768,5,47.9128,0,1
65536,5,62.7029,0,1
131072,5,133.904,0,1
262144,5,386.136,0,1
524288,5,540.114,0,1
1048576,5,608.533,0,1
64,5,9.39458,0,0
128,5,9.04702,0,0
256,5,8.86597,0,0
512,5,8.83949,0,0
1024,5,8.86124,0,0
2048,5,9.5816,0,0
4096,5,11.8782,0,0
8192,5,16.669,0,0
16384,5,23.8115,0,0
32768,5,47.4579,0,0
65536,5,98.2146,0,0
131072,5,163.835,0,0
262144,5,313.187,0,0
524288,5,2128.33,0,0
1048576,5,2358.5,0,0
64,6,3.46846,1,1
128,6,4.95882,1,1
256,6,6.58169,1,1
512,6,6.31907,1,1
1024,6,6.59171,1,1
2048,6,7.16829,1,1
4096,6,7.82596,1,1
8192,6,7.29479,1,1
16384,6,7.46594,1,1
32768,6,7.89183,1,1
65536,6,7.69262,1,1
131072,6,17.5751,1,1
262144,6,66.2366,1,1
524288,6,75.6918,1,1
1048576,6,78.4348,1,1
64,6,11.1104,1,0
128,6,10.8334,1,0
256,6,10.6011,1,0
512,6,10.5981,1,0
1024,6,10.6617,1,0
2048,6,10.8128,1,0
4096,6,10.8385,1,0
8192,6,11.1331,1,0
16384,6,11.5937,1,0
32768,6,11.955,1,0
65536,6,12.2855,1,0
131072,6,16.561,1,0
262144,6,24.7334,1,0
524288,6,161.226,1,0
1048576,6,170.589,1,0
64,6,6.71161,0,1
128,6,10.5117,0,1
256,6,11.5289,0,1
512,6,11.4805,0,1
1024,6,11.5212,0,1
2048,6,14.8965,0,1
4096,6,26.683,0,1
8192,6,39.0648,0,1
16384,6,59.6628,0,1
32768,6,110.649,0,1
65536,6,149.095,0,1
131072,6,375.604,0,1
262144,6,592.547,0,1
524288,6,743.128,0,1
1048576,6,826.674,0,1
64,6,6.55404,0,0
128,6,6.23201,0,0
256,6,6.29187,0,0
512,6,6.22977,0,0
1024,6,6.26061,0,0
2048,6,8.08998,0,0
4096,6,16.1769,0,0
8192,6,21.692,0,0
16384,6,33.3057,0,0
32768,6,83.5659,0,0
65536,6,132.174,0,0
131072,6,241.849,0,0
262144,6,426.886,0,0
524288,6,2794.55,0,0
1048576,6,3009.89,0,0
64,7,8.47241,1,1
128,7,12.568,1,1
256,7,13.2011,1,1
512,7,13.3048,1,1
1024,7,13.6616,1,1
2048,7,13.9732,1,1
4096,7,13.5434,1,1
8192,7,14.946,1,1
16384,7,15.2302,1,1
32768,7,16.1013,1,1
65536,7,16.687,1,1
131072,7,33.8577,1,1
262144,7,93.4073,1,1
524288,7,104.788,1,1
1048576,7,113.825,1,1
64,7,13.0372,1,0
128,7,12.6803,1,0
256,7,12.5007,1,0
512,7,12.3433,1,0
1024,7,12.5021,1,0
2048,7,12.663,1,0
4096,7,12.7127,1,0
8192,7,13.2084,1,0
16384,7,13.7127,1,0
32768,7,14.0803,1,0
65536,7,15.2061,1,0
131072,7,22.7266,1,0
262144,7,34.1767,1,0
524288,7,223.401,1,0
1048576,7,245.821,1,0
64,7,6.38174,0,1
128,7,7.73183,0,1
256,7,7.5803,0,1
512,7,8.3183,0,1
1024,7,8.75994,0,1
2048,7,12.9857,0,1
4096,7,20.8224,0,1
8192,7,29.591,0,1
16384,7,48.4736,0,1
32768,7,86.7098,0,1
65536,7,131.747,0,1
131072,7,544.764,0,1
262144,7,851.717,0,1
524288,7,980.044,0,1
1048576,7,1077.01,0,1
64,7,13.029,0,0
128,7,12.7134,0,0
256,7,12.4066,0,0
512,7,12.3525,0,0
1024,7,12.4547,0,0
2048,7,19.3357,0,0
4096,7,31.8681,0,0
8192,7,46.3601,0,0
16384,7,49.0181,0,0
32768,7,85.8735,0,0
65536,7,174.296,0,0
131072,7,356.298,0,0
262144,7,555.897,0,0
524288,7,3635.81,0,0
1048576,7,3868.22,0,0
64,8,13.3477,1,1
128,8,16.1268,1,1
256,8,15.1827,1,1
512,8,15.654,1,1
1024,8,15.7919,1,1
2048,8,16.2873,1,1
4096,8,16.2563,1,1
8192,8,16.9104,1,1
16384,8,17.8827,1,1
32768,8,18.3049,1,1
65536,8,23.2046,1,1
131072,8,46.5601,1,1
262144,8,125.345,1,1
524288,8,140.074,1,1
1048576,8,144.33,1,1
64,8,14.5964,1,0
128,8,14.4646,1,0
256,8,14.2511,1,0
512,8,14.1278,1,0
1024,8,14.2467,1,0
2048,8,14.4675,1,0
4096,8,14.496,1,0
8192,8,15.1541,1,0
16384,8,15.8887,1,0
32768,8,16.0924,1,0
65536,8,17.8729,1,0
131072,8,30.0523,1,0
262144,8,44.7347,1,0
524288,8,298.852,1,0
1048576,8,311.01,1,0
64,8,7.72951,0,1
128,8,8.92353,0,1
256,8,9.39415,0,1
512,8,9.73859,0,1
1024,8,10.2001,0,1
2048,8,19.989,0,1
4096,8,25.5527,0,1
8192,8,37.2869,0,1
16384,8,72.367,0,1
32768,8,96.8028,0,1
65536,8,209.504,0,1
131072,8,792.926,0,1
262144,8,1078.44,0,1
524288,8,1214.87,0,1
1048576,8,1314.82,0,1
64,8,8.77993,0,0
128,8,8.56092,0,0
256,8,8.53541,0,0
512,8,8.46501,0,0
1024,8,8.49756,0,0
2048,8,18.4587,0,0
4096,8,40.385,0,0
8192,8,59.6185,0,0
16384,8,113.129,0,0
32768,8,118.129,0,0
65536,8,138.752,0,0
131072,8,504.546,0,0
262144,8,687.803,0,0
524288,8,4647.48,0,0
1048576,8,4970.56,0,0
64,9,13.2806,1,1
128,9,14.9154,1,1
256,9,15.3132,1,1
512,9,15.6089,1,1
1024,9,15.9883,1,1
2048,9,16.6677,1,1
4096,9,16.22,1,1
8192,9,17.6688,1,1
16384,9,18.6764,1,1
32768,9,20.3238,1,1
65536,9,28.0884,1,1
131072,9,98.0285,1,1
262144,9,153.011,1,1
524288,9,164.532,1,1
1048576,9,173.774,1,1
64,9,9.27996,1,0
128,9,8.75901,1,0
256,9,8.68378,1,0
512,9,8.82725,1,0
1024,9,9.37453,1,0
2048,9,9.66738,1,0
