size,cores,latency,Sequential,modify
65536,1,5.17197,1,1
131072,1,1.46667,1,1
262144,1,1.18961,1,1
524288,1,1.65001,1,1
1048576,1,2.10547,1,1
2097152,1,2.14593,1,1
4194304,1,2.24026,1,1
8388608,1,2.30024,1,1
16777216,1,2.31572,1,1
65536,1,1.21857,1,0
131072,1,1.13281,1,0
262144,1,1.14307,1,0
524288,1,1.30581,1,0
1048576,1,1.54962,1,0
2097152,1,1.53831,1,0
4194304,1,1.53458,1,0
8388608,1,1.53798,1,0
16777216,1,1.53901,1,0
65536,1,12.0572,0,1
131072,1,12.5336,0,1
262144,1,13.4077,0,1
524288,1,22.5021,0,1
1048576,1,51.1244,0,1
2097152,1,66.5726,0,1
4194304,1,75.0605,0,1
8388608,1,80.4134,0,1
16777216,1,83.0925,0,1
65536,1,10.1773,0,0
131072,1,11.3383,0,0
262144,1,11.913,0,0
524288,1,22.8171,0,0
1048576,1,46.7262,0,0
2097152,1,60.9137,0,0
4194304,1,68.6987,0,0
8388608,1,74.4986,0,0
16777216,1,78.3197,0,0
65536,2,2.67212,1,1
131072,2,2.78534,1,1
262144,2,6.17821,1,1
524288,2,9.52664,1,1
1048576,2,9.534,1,1
2097152,2,8.81829,1,1
4194304,2,9.17099,1,1
8388608,2,8.73654,1,1
16777216,2,8.80253,1,1
65536,2,2.29408,1,0
131072,2,2.3175,1,0
262144,2,2.72461,1,0
524288,2,3.21009,1,0
1048576,2,3.43311,1,0
2097152,2,3.52205,1,0
4194304,2,3.54059,1,0
8388608,2,3.57506,1,0
16777216,2,3.57247,1,0
65536,2,23.0828,0,1
131072,2,25.1132,0,1
262144,2,47.201,0,1
524288,2,107.273,0,1
1048576,2,140.912,0,1
2097152,2,162.21,0,1
4194304,2,170.019,0,1
8388608,2,183.423,0,1
16777216,2,188.102,0,1
65536,2,22.2845,0,0
131072,2,24.0228,0,0
262144,2,43.4916,0,0
524288,2,97.5511,0,0
1048576,2,127.935,0,0
2097152,2,143.712,0,0
4194304,2,153.908,0,0
8388608,2,162.689,0,0
16777216,2,168.199,0,0
65536,3,4.7023,1,1
131072,3,5.10862,1,1
262144,3,10.3639,1,1
524288,3,15.7712,1,1
1048576,3,18.1985,1,1
2097152,3,19.3472,1,1
4194304,3,19.8519,1,1
8388608,3,20.0899,1,1
16777216,3,20.1366,1,1
65536,3,4.27205,1,0
131072,3,5.37577,1,0
262144,3,5.95706,1,0
524288,3,7.02634,1,0
1048576,3,7.70098,1,0
2097152,3,8.08578,1,0
4194304,3,8.25415,1,0
8388608,3,8.31723,1,0
16777216,3,8.35841,1,0
65536,3,43.9349,0,1
131072,3,53.5284,0,1
262144,3,137.824,0,1
524288,3,217.383,0,1
1048576,3,261.391,0,1
2097152,3,285.352,0,1
4194304,3,300.196,0,1
